entidad_id,nombre_extraido,nombre_real,ciudad,email_extraido,email_real,codigo_despacho,numero_despacho,jurisdiccion,distrito,circuito,juez,direccion,telefono,area,total_registros
55,JUZGADO DIECIOCHO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,BARRANQUILLA,J18PRPCBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,,080014189001,,ORDINARIA,BARRANQUILLA,BARRANQUILLA,MARCIA VIVIANA BERMUDEZ  ROJAS,CALLE 24#7-07 - SIMON BOLIVAR,5-3885005,JUDICIAL,1812
59,JUZGADO SESENTA Y OCHO 68 CIVIL MUNICIPAL DE BOGOTÁ D C,,BOGOTÁ D.C.,CMPL68BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,68,,,,,,,,1769
60,JUZGADO 78 CIVIL MUNICIPAL TRANSFORMADO TRANSITORIAMENTE EN JUZGADO 60 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D. C.,,BOGOTÁ D.C.,CMPL78BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,78,,,,,,,,1747
61,JUZGADO SETENTA DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,J70PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,1734
63,JUZGADO 74 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTA D.C.,,BOGOTÁ D.C.,J74PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,74,,,,,,,,1679
64,"JUZGADO TREINTA Y CUATRO CIVIL MUNICIPAL DE BOGOTÁ , D. C.",,BOGOTÁ D.C.,CMPL34BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1674
67,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,J05PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,1633
69,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES DE CARTAGENA,,CARTAGENA DE INDIAS,J02PEQCACMCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1604
70,JUZGADO VEINTIDÓS DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,BARRANQUILLA,J22PRPCBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,,080014189001,,ORDINARIA,BARRANQUILLA,BARRANQUILLA,MARCIA VIVIANA BERMUDEZ  ROJAS,CALLE 24#7-07 - SIMON BOLIVAR,5-3885005,JUDICIAL,1600
71,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE CARTAGENA,,CARTAGENA DE INDIAS,J06PCPRCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1591
72,JUZGADO SEXTO CIVIL MUNICIPAL,,,CMPAL06MA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1578
73,JUZGADO ONCE CIVIL MUNICIPAL,,,CMPL11BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1530
74,JUZGADO OCTAVO CIVIL MUNICIPAL,,,J08CMPER@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1504
75,JUZGADO SEGUNDO CIVIL MUNICIPAL DE CARTAGENA DE INDIAS,JUZGADO 001 CIVIL MUNICIPAL DE CARTAGENA,CARTAGENA DE INDIAS,J02CMPLCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,130014003001,,ORDINARIA,CARTAGENA,CARTAGENA,KEY SANDY CARO  MEJIA,CARRERA 5A#36-127 - CALLE DEL CUARTEL CARRERA 5 A N° 36 - 127 OFICINA 312,5-3102375766,JUDICIAL,1477
76,JUZGADO VEINTICUATRO CIVIL MUNICIPAL,,,CMPL24BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1435
79,JUZGADO 12 CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ,JUZGADO CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE MANIZALES,BOGOTÁ D.C.,RADICACIONJ12EJECMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,170014303000,12,ORDINARIA,MANIZALES,MANIZALES,,NA,NA,ADMINISTRATIVA,1413
80,JUZGADO 42 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,,BOGOTÁ D.C.,J42PCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,42,,,,,,,,1347
81,JUZGADO VEINTIDÓS CIVIL MUNICIPAL DE BOGOTÁ D C,,BOGOTÁ D.C.,CMPL22BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1345
82,JUZGADO DÉCIMO CIVIL MUNICIPAL DE BOGOTÁ D C,,BOGOTÁ D.C.,CMPL10BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1339
83,JUZGADO SESENTA Y UNO 61 CIVIL MUNICIPAL DE BOGOTÁ D C,,BOGOTÁ D.C.,CMPL61BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,61,,,,,,,,1290
84,JUZGADO CUARENTA Y UNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D.C.,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,J41PCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,1286
85,JUZGADO SÉPTIMO CIVIL MUNICIPAL,,,CMPAL07MA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1284
86,JUZGADO SEXTO CIVIL MUNICIPAL DE CARTAGENA,JUZGADO 001 CIVIL MUNICIPAL DE CARTAGENA,CARTAGENA DE INDIAS,J06CMPLCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,130014003001,,ORDINARIA,CARTAGENA,CARTAGENA,KEY SANDY CARO  MEJIA,CARRERA 5A#36-127 - CALLE DEL CUARTEL CARRERA 5 A N° 36 - 127 OFICINA 312,5-3102375766,JUDICIAL,1283
87,JUZGADO QUINCE CIVIL MUNICIPAL DE BUCARAMANGA,JUZGADO 001 CIVIL MUNICIPAL DE BUCARAMANGA,BUCARAMANGA,J15CMBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,680014003001,,ORDINARIA,BUCARAMANGA,BUCARAMANGA,IVAN ALFONSO GAMARRA SERRANO,CALLE 35#11-12 - OFICINA 231,7-4011,JUDICIAL,1279
88,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES DE BARRANQUILLA,,BARRANQUILLA,J03PQCCMBA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1265
89,"JUZGADO VEINTITRÉS 23 CIVIL MUNICIPAL DE ORALIDAD , BOGOTÁ D.C.",,BOGOTÁ D.C.,CMPL23BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,23,,,,,,,,1247
90,JUZGADO VEINTISÉIS CIVIL MUNICIPAL DE BOGOTÁ D C,,BOGOTÁ D.C.,CMPL26BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1246
91,JUZGADO CUARENTA Y SIETE CIVIL MUNICIPAL DE BOGOTÁ DC,,BOGOTÁ D.C.,CMPL47BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1245
95,JUZGADO VEINTIUNO 21 CIVIL MUNICIPAL DE BOGOTÁ D C,,BOGOTÁ D.C.,CMPL21BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,21,,,,,,,,1211
97,JUZGADO PRIMERO CIVIL DEL CIRCUITO,,MEDELLÍN,CCTO01BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1194
99,JUZGADO DIECISIETE CIVIL MUNICIPAL DE CARTAGENA,JUZGADO 001 CIVIL MUNICIPAL DE CARTAGENA,CARTAGENA DE INDIAS,J17CMPLCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,130014003001,,ORDINARIA,CARTAGENA,CARTAGENA,KEY SANDY CARO  MEJIA,CARRERA 5A#36-127 - CALLE DEL CUARTEL CARRERA 5 A N° 36 - 127 OFICINA 312,5-3102375766,JUDICIAL,1170
100,JUZGADO 5 CIVIL MUNICIPAL DE BOGOTÁ,,BOGOTÁ D.C.,CMPL05BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,5,,,,,,,,1168
102,JUZGADO CUARENTA Y DOS CIVIL MUNICIPAL,,,CMPL42BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1158
103,JUZGADO VEINTIUNO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,J21PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,1144
104,JUZGADO 53 CIVIL MUNICIPAL DE BOGOTÁ,,BOGOTÁ D.C.,CMPL53BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,53,,,,,,,,1133
105,JUZGADO SEGUNDO CIVIL MUNICIPAL ORAL DE BARRANQUILLA,JUZGADO 001 CIVIL MUNICIPAL DE BARRANQUILLA,BARRANQUILLA,CMUN02BA@CENDOJ.RAMAJUDICIAL.GOV.CO,,080014003001,,ORDINARIA,BARRANQUILLA,BARRANQUILLA,BEATRIZ MARTHA DIAZGRANADOS  CORVACHO,"CALLE 40 # 44 - 80 - EDIFICIO CENTRO CÍVICO, PISO 7",5-3885005 Ext. 1059,JUDICIAL,1101
110,JUZGADO DIECISÉIS DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,J16PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,1063
111,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,MEDELLÍN,J01PQCCMCUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,050014189001,,ORDINARIA,MEDELLÍN,MEDELLÍN,MARIA CLARA GIRALDO ACEVEDO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,JUDICIAL,1054
112,JUZGADO TREINTA Y SIETE 37 CIVIL  MUNICIPAL DE BOGOTA D.C.,,BOGOTÁ D.C.,CMPL37BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,37,,,,,,,,1054
113,JUZGADO VEINTE CIVIL MUNICIPAL DE ORALIDAD DE BOGOTÁ,JUZGADO 001 CIVIL MUNICIPAL DE BOGOTÁ,BOGOTÁ D.C.,CMPL20BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014003001,,ORDINARIA,BOGOTÁ,BOGOTÁ,EDUARDO ANDRES CABRALES ALARCON,CARRERA 10 # 14-33  - PISO 4,1-,JUDICIAL,1048
114,JUZGADO TREINTA Y SEIS ( 36 ) DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,,BOGOTÁ D.C.,J36PCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,36,,,,,,,,1047
115,JUZGADO DIECINUEVE 19 CIVIL MUNICIPAL DE BOGOTÁ,,BOGOTÁ D.C.,CMPL19BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,19,,,,,,,,1018
116,JUZGADO VEINTE DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,MEMORIALESJ20PQCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,1006
117,JUZGADO PRIMERO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE CARTAGENA,,CARTAGENA DE INDIAS,JPEQCACMCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,997
118,JUZGADO VEINTIUNO CIVIL MUNICIPAL DE CALI,JUZGADO 001 CIVIL MUNICIPAL DE CALI,CALI,J21CMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,760014003001,,ORDINARIA,CALI,CALI,ELIANA MILDRETH NINCO ESCOBAR,CARRERA 10 # 12-15 - PISO 9,2-8986868 5012,JUDICIAL,994
120,JUZGADO NOVENO CIVIL MUNICIPAL BOGOTÁ D C,,BOGOTÁ D.C.,CMPL09BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,967
121,JUZGADO VEINTITRES DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,BOGOTÁ D.C.,J23PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,110014189001,,ORDINARIA,BOGOTÁ,BOGOTÁ,GABRIELA  MORA  CONTRERAS,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,JUDICIAL,964
122,JUZGADO SEGUNDO CIVIL MUNICIPAL DE CÚCUTA NORTE DE SANTANDER,,CÚCUTA,JCIVMCU2@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,961
123,JUZGADO CATORCE DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BARRANQUILLA,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,BARRANQUILLA,J14PRPCBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,,080014189001,,ORDINARIA,BARRANQUILLA,BARRANQUILLA,MARCIA VIVIANA BERMUDEZ  ROJAS,CALLE 24#7-07 - SIMON BOLIVAR,5-3885005,JUDICIAL,954
125,JUZGADO TERCERO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,MEDELLÍN,J03PQCCMIBA@CENDOJ.RAMAJUDICIAL.GOV.CO,,050014189001,,ORDINARIA,MEDELLÍN,MEDELLÍN,MARIA CLARA GIRALDO ACEVEDO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,JUDICIAL,937
126,JUZGADO DOCE CIVIL MUNICIPAL DE CÚCUTA NORTE DE SANTANDER,,CÚCUTA,JCIVMCU12@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,937
128,JUZGADO OCTAVO CIVIL MUNICIPAL ORAL DE BARRANQUILLA,JUZGADO 001 CIVIL MUNICIPAL DE BARRANQUILLA,BARRANQUILLA,CMUN08BA@CENDOJ.RAMAJUDICIAL.GOV.CO,,080014003001,,ORDINARIA,BARRANQUILLA,BARRANQUILLA,BEATRIZ MARTHA DIAZGRANADOS  CORVACHO,"CALLE 40 # 44 - 80 - EDIFICIO CENTRO CÍVICO, PISO 7",5-3885005 Ext. 1059,JUDICIAL,927
129,JUZGADO SEGUNDO CIVIL DEL CIRCUITO,,MEDELLÍN,CCTO02NEI@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,926
131,JUZGADO CINCUENTA Y CINCO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,MEDELLÍN,CMPL73BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,050014189001,,ORDINARIA,MEDELLÍN,MEDELLÍN,MARIA CLARA GIRALDO ACEVEDO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,JUDICIAL,923
132,JUZGADO TRECE CIVIL MUNICIPAL DE BARRANQUILLA,JUZGADO 001 CIVIL MUNICIPAL DE BARRANQUILLA,BARRANQUILLA,CMUN13BA@CENDOJ.RAMAJUDICIAL.GOV.CO,,080014003001,,ORDINARIA,BARRANQUILLA,BARRANQUILLA,BEATRIZ MARTHA DIAZGRANADOS  CORVACHO,"CALLE 40 # 44 - 80 - EDIFICIO CENTRO CÍVICO, PISO 7",5-3885005 Ext. 1059,JUDICIAL,922
133,JUZGADO DIECINUEVE CIVIL MUNICIPAL DE ORALIDAD DE CALI,JUZGADO 001 CIVIL MUNICIPAL DE CALI,CALI,J19CMCALI@CENDOJ.RAMAJUDICIAL.GOV.CO,,760014003001,,ORDINARIA,CALI,CALI,ELIANA MILDRETH NINCO ESCOBAR,CARRERA 10 # 12-15 - PISO 9,2-8986868 5012,JUDICIAL,921
135,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES,,,J02PQCCMSOLEDAD@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,913
138,JUZGADO 58 CIVIL MUNICIPAL DE BOGOTÁ,,BOGOTÁ D.C.,CMPL58BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,58,,,,,,,,907
139,JUZGADO CINCUENTA Y DOS 52 CIVIL MUNICIPAL DE BOGOTÁ,,BOGOTÁ D.C.,CMPL52BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,52,,,,,,,,906
140,JUZGADO TERCERO PROMISCUO MUNICIPAL,,,J03PMPALCIENAGA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,904
141,JUZGADO OCTAVO CIVIL MUNICIPAL DISTRITO JUDICIAL DE CÚCUTA,,CÚCUTA,JCIVMCU8@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,903
143,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,MEDELLÍN,CMPL09NEI@CENDOJ.RAMAJUDICIAL.GOV.CO,,050014189001,,ORDINARIA,MEDELLÍN,MEDELLÍN,MARIA CLARA GIRALDO ACEVEDO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,JUDICIAL,897
144,JUZGADO PRIMERO CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE BUCARAMANGA,JUZGADO 001 CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE BUCARAMANGA,BUCARAMANGA,OFEJCMBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,680014303001,,ORDINARIA,BUCARAMANGA,BUCARAMANGA,MARIA PAOLA ANNICCHIARICO CONTRERAS,CARRERA 12#31-08,7-,JUDICIAL,890
145,JUZGADO OCTAVO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,BARRANQUILLA,J08PRPCBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,,080014189001,,ORDINARIA,BARRANQUILLA,BARRANQUILLA,MARCIA VIVIANA BERMUDEZ  ROJAS,CALLE 24#7-07 - SIMON BOLIVAR,5-3885005,JUDICIAL,881
