entidad_id,nombre_extraido,nombre_real,ciudad,email_extraido,email_real,nit,cod_institucion,orden,sector,naturaleza_juridica,tipo_institucion,direccion,telefono,pagina_web,estado,representante,cargo_representante,total_registros
13,ALCALDÍA DE MONTERÍA,ALCALDIA DE MONTERIA,MONTERÍA,STRANSITO@MONTERIA.GOV.CO,"RHUMANOS@MONTERIA.GOV.CO 
ADMINISTRADOR@MONTERIA.GOV.CO",800096734,431,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 27 N 3-61 EDIFICIO ANTONIO DE LA TORRE Y MIRANDA,7824835,NO DISPONIBLE,ACTIVA,HUGO FERNANDO KERGUELEN GARCIA,ALCALDE,9037
14,SUPERINTENDENCIA DE SOCIEDADES,SUPERINTENDENCIA DE SOCIEDADES,,MEDCAUTELATESADMON@SUPERSOCIEDADES.GOV.CO,WEBMASTER@SUPERSOCIEDADES.GOV.CO,899999086,30,NACIONAL,COMERCIO INDUSTRIA Y TURISMO,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,ADSCRITAS,AVENIDA EL DORADO NO. 51- 80,2201000,http://www.supersociedades.gov.co,ACTIVA,BILLY RAUL ANTONIO ESCOBAR PÉREZ,SUPERINTENDENTE,8894
15,ALCALDÍA DE VALLEDUPAR,ALCALDIA DE VALLEDUPAR,VALLEDUPAR,TRANSITO@VALLEDUPAR-CESAR.GOV.CO,,800098911,504,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,"CARRERA  5 NO 15-69
PLAZA ALFONSO LÓPEZ",5755842400,https://www.valledupar-cesar.gov.co/,ACTIVA,ERNESTO MIGUEL OROZCO DURAN,,6832
16,INSTITUTO DE DESARROLLO URBANO IDU,INSTITUTO DE DESARROLLO URBANO - IDU,,CORRESPONDENCIA@IDU.GOV.CO,,899999081,4554,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,CALLE 22   6  27,3386660,http://www.idu.gov.co,ACTIVA,,,6427
18,ALCALDÍA DE VILLAVICENCIO,ALCALDIA DE VILLAVICENCIO,VILLAVICENCIO,MOVILIDAD@VILLAVICENCIO.GOV.CO,,892099324,1267,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 40 NO 33-64 CENTRO,6830101,http://www.villavicencio.gov.co,ACTIVA,ALEXANDER BAQUERO SANABRIA,,5433
19,SENA,,,CFONSECAG@SENA.EDU.CO,,,,,,,,,,,,,,5425
21,ALCALDIA MUNICIPAL IBAGUÉ,,IBAGUÉ,TESORERIA@IBAGUE.GOV.CO,,,,,,,,,,,,,,4425
22,ALCALDÍA DE ACACIAS,ALCALDIA DE ACACIAS,ACACÍAS,COACTIVO@ACACIAS.GOV.CO,,892001457,51,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CRA 14 NO. 13-30 CENTRO - ACACIAS.,6569997,www.acacias.gov.co,ACTIVA,CARLOS JULIO PLATA BECERRA,,4177
23,MINISTERIO DEL TRABAJO,MINISTERIO DEL TRABAJO,,COBROCOACTIVO@MINTRABAJO.GOV.CO,,8301152263,8007,NACIONAL,TRABAJO,MINISTERIO,NO APLICA,"CARRERA 7 - 31 10 EDIFICIO WORKTECH CENTER II P. H. – WTC PISOS 5, 8, 9, 10, 12, 17, 18, 19, 20, 21, 22, 23, 24 Y25",5185830,https://www.mintrabajo.gov.co/atencion-al-ciudadano/transparencia/datos-abiertos,ACTIVA,ANTONIO ERESMID SANGUINO PAEZ,MINISTRO,4160
25,EMCALI,,CALI,PAVERNAZA@EMCALI.COM.CO,,,,,,,,,,,,,,3899
27,ALCALDÍA DE VILLA DEL ROSARIO,ALCALDIA DE VILLA DEL ROSARIO,VILLA DEL ROSARIO,SECRETARIADEHACIENDA@VILLAROSARIO.GOV.CO,,890503373,1254,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 5ª CARRERA 7ª ESQUINA - PALACIO MUNICIPAL,5701220,http://www.villadelrosario-nortedesantander.gov.co,ACTIVA,JUAN CAMILO SUAREZ SIERRA,,3480
28,MUNICIPIO DE YONDÓ ANTIOQUIA,,YONDÓ,NOTIFICACIONESHACIENDA@YONDO.GOV.CO,,,,,,,,,,,,,,3345
31,ALCALDÍA DE NEIVA,ALCALDIA DE NEIVA,NEIVA,COBROCOACTIVO@ALCALDIANEIVA.GOV.CO,,891180009,804,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 5 NO 9-74,8714472,http://www.alcaldianeiva.gov.co,ACTIVA,GORKY MUÑOZ CALDERON,,2921
33,ALCALDÍA DE SOLEDAD,ALCALDIA DE SOLEDAD,SOLEDAD,NOTIFICACIONESJUDICIALES@TRANSITOSOLEDAD.GOV.CO,,890106291,493,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,KILOMETRO 4 PROLONGACIÓN MURILLO GRAN CENTRAL DE ABASTOS DEL CARIBE LOCAL 6,3282188,http://www.soledad-atlantico.gov.co,ACTIVA,ALCIRA PAOLA SANDOVAL IBAÑEZ,,2790
34,ALCALDÍA MUNICIPAL DE JAMUNDÍ,ALCALDIA DE JAMUNDI,JAMUNDÍ,SECRETARIA.HACIENDA@JAMUNDI.GOV.CO,,890399046,666,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 10 CALLE 10 ESQUINA,5190969,http://www.jamundi.gov.co,ACTIVA,PAOLA ANDREA CASTILLO GUTIERREZ,,2721
35,ALCALDÍA DE ITAGÜÍ,ALCALDIA DE ITAGÜI,ITAGÜÍ,0,,890980093,409,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 51 # 51 - 55 EDIFICIO JUDICIAL C.A.M.I,3737676,http://www.itagui.gov.co,ACTIVA,,,2682
37,NO ENCONTRADA,,,COORDINADORCOACTIVO@TRANSITOCARTAGENA.GOV.CO,,,,,,,,,,,,,,2500
38,ALCALDÍA DE SANTA MARTA,ALCALDIA DE SANTA ANA,SANTA MARTA,TRANSITO@SANTAMARTA.GOV.CO,,891780056,1080,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 2 NO. 5 - 56,3116567627,http://santaana-magdalena.gov.co,ACTIVA,ANIBAL JOSE LOPEZ LOPEZ,,2467
41,LAS CEIBAS EMPRESAS PUBLICAS DE NEIVA E.S.P.,LAS CEIBAS EMPRESAS PUBLICAS DE NEIVA,NEIVA,COMUNICACIONESCOBROCOACTIVO@LASCEIBAS.GOV.CO,,891180010,3836,TERRITORIAL,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,VINCULADAS,CALLE 6 NO. 6 - 02 ESQUINA,8725500,http://www.lasceibas.gov.co,ACTIVA,GLORIA CONSTANZA VANEGAS GUTIERREZ,,2250
44,SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO,SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO,,CONTACTENOS@SIC.GOV.CO,,800176089,31,NACIONAL,COMERCIO INDUSTRIA Y TURISMO,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,ADSCRITAS,"CARRERA 13 N 27  00 PISOS 3, 4, 5 Y 10",5870000,https://www.sic.gov.co/,ACTIVA,CIELO ELAINNE RUSINQUE URREGO,,2174
45,ALCALDÍA DE FLORENCIA,ALCALDIA DE FLORENCIA  CAUCA,FLORENCIA,SECHACIENDA@FLORENCIA-CAQUETA.GOV.CO,,800188492,393,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 4 NO. 3-34,7264696,http://florencia-cauca.gov.co,ACTIVA,,,2151
47,INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,BARRANCABERMEJA,NOTIFICACIONES@TRANSITOBARRANCABERMEJA.GOV.CO,,890270948,4498,TERRITORIAL,NO APLICA,ORGANOS AUTÓNOMOS,ADSCRITAS,CARRERA 2 50 25,6228685,http://www.transitobarrancabermeja.gov.co,ACTIVA,CESAR AUGUSTO GUZMAN AREIZA,,2098
48,ALCALDÍA MUNICIPAL DE PALMIRA,ALCALDIA DE PALMIRA,PALMIRA,0,,891380007,847,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 30 CARRERA 29 ESQUINA EDIF. CAMP,2709690,http://www.palmira.gov.co,ACTIVA,VICTOR MANUEL RAMOS VERGARA,,2041
56,GOBERNACIÓN DE NORTE DE SANTANDER,GOBERNACION DE NORTE DE SANTANDER,,SECHACIENDA.COACTIVO@NORTEDESANTANDER.GOV.CO,,800103927,4414,TERRITORIAL,NO APLICA,GOBERNACIÓN,ADSCRITAS,AVENIDA QUINTA CALLE 13 Y 14 CUPULA CHATA,5712488,http://www.nortedesantander.gov.co,ACTIVA,WILLIAM  VILLAMIZAR LAGUADO,,1808
57,SECRETARIA DISTRITAL DE HACIENDA,SECRETARIA DISTRITAL DE MUJER,,RADICACIONHACIENDABOGOTA@SHD.GOV.CO,,899999061,8095,TERRITORIAL,NO APLICA,SECRETARIA DE DESPACHO,ADSCRITAS,"AC 26 # 69 - 76, TORRE 1 OFICINA 9",2688854,NO DISPONIBLE,ACTIVA,,,1798
58,ALCALDÍA DE MOSQUERA,ALCALDIA DE MOSQUERA - NARIÑO,MOSQUERA,COBROCOACTIVOHACIENDA@MOSQUERA-CUNDINAMARCA.GOV.CO,,800099111,790,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,BARRIO LAS MERCEDES - CL2B #9-11,5662599,http://www.mosquera-narino.gov.co,ACTIVA,KAREN LIZETH PINEDA PINEDA,,1791
62,SUPERTRANSPORTE,,,VENTANILLAUNICADERADICACION@SUPERTRANSPORTE.GOV.CO,,,,,,,,,,,,,,1717
65,GOBERNACIÓN DE SUCRE,GOBERNACION DE SUCRE,,CONTACTENOS@SUCRE.GOV.CO,,892280021,4399,TERRITORIAL,NO APLICA,GOBERNACIÓN,ADSCRITAS,"CALLE 25 NO. 25B-35 AVENIDA LAS PEÑIAS, EDIFICIO GOBERNACION DE SUCRE, SINCELEJO - SUCRE",2801552,http://www.sucre.gov.co,ACTIVA,HECTOR OLIMPO ESPINOSA OLIVER,,1643
66,ALCALDÍA DE AGUAZUL,ALCALDIA DE AGUAZUL,AGUAZUL,COBROCOACTIVO@AGUAZUL-CASANARE.GOV.CO,,891855200,320,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 12 N° 10 - 36,6345995,http://www.aguazul-casanare.gov.co,ACTIVA,NELSON ENRIQUE CAMACHO CAICEDO,,1635
68,ALCALDIA MUNICIPAL DE EL ESPINAL,ALCALDIA DE EL ESPINAL,EL ESPINAL,CONTACTENOS@ELSPINAL-TOLIMA.GOV.CO,,890702027,542,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 6 NO. 8 - 07,2488379,http://www.elespinal-tolima.gov.co,ACTIVA,WILSON GUTIERREZ MONTAÑA,,1623
77,COLPENSIONES,,,COBROCOACTIVO@COLPENSIONES.GOV.CO,,,,,,,,,,,,,,1430
78,ALCALDIA MUNICIPAL DE COROZAL,ALCALDIA DE COROZAL,COROZAL,TRANSITODECOROZALSUCRE@HOTMAIL.COM,,892280032,380,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 28 NO 31A-08 BARRIO SAN JUAN - PALACIO MUNICIPAL - COROZAL,2840460,http://www.corozal-sucre.gov.co,ACTIVA,BAYRON JOAQUIN OSPINA TRESPALACIOS,,1419
92,CORPORACIÓN AUTÓNOMA REGIONAL DEL ALTO MAGDALENA CAM,CORPORACION  AUTONOMA REGIONAL DEL ALTO MAGDALENA - CAM,,CAMHUILA@CAM.GOV.CO,,800255580,884,NACIONAL,AMBIENTE Y DESARROLLO SOSTENIBLE,ORGANOS AUTÓNOMOS,NO APLICA,CARRERA 1 N 60  79,8664454,http://www.cam.gov.co,ACTIVA,CAMILO AUGUSTO AGUDELO PERDOMO,,1230
93,ALCALDÍA DE SANTIAGO DE CALI,ALCALDIA DE SANTIAGO,CALI,MEDIDAS.CAUTELARES@CALI.GOV.CO,,800099262,1104,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 3 NO.2-31 CENTRO,5856511,http://santiago-nortedesantander.gov.co,ACTIVA,,,1229
94,ALCALDÍA MUNICIPAL DE CIÉNAGA,ALCALDIA DE CIENAGA  MAGDALENA,CIÉNAGA,PQRS@INTRACIENAGA-MAGDALENA.GOV.CO,,891780043,241,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 15 #11 85,3008383416,http://www.gobmagdalena.gov.co,ACTIVA,LUIS ALBERTO FERNANDEZ QUINTO,,1215
96,MUNICIPIO DE CLEMENCIA BOLIVAR,ALCALDIA DE CLEMENCIA - BOLIVAR,CLEMENCIA,MEDIDASCAUTELARES@TRANSITOCLEMENCIA.GOV.CO,,806000701,247,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,URB ANITA TRANV 52 # 32-41 CARTAGENA,3145505842,NO DISPONIBLE,ACTIVA,,,1206
98,INSTITUTO DE MOVILIDAD DE EL CARMEN DE BOLÍVAR,INSTITUTO DE MOVILIDAD DE EL CARMEN DE BOLÍVAR,EL CARMEN DE BOLÍVAR,DIRECTOR@TRANSITOELCARMENDEBOLIVAR.GOV.CO,,800115099,11905,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,NO APLICA,CARRERA 54 - CALLE 23 Y 24  NO.23-26 BARRIO MONTE CARMELO,,http://www.institutodemovilidadelcarmendebolivarbolivar.gov.co,ACTIVA,SARA INÉS MERCADO BENEDETTI,,1171
101,ALCALDÍA DE SINCELEJO,ALCALDIA DE SINCELEJO,SINCELEJO,TRANSITO@SINCELEJO.GOV.CO,,800104062,1126,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 17 NO. 22 - 42 CENTRO EJECUTIVO LOS ANDES,2826264,https://www.alcaldiadesincelejo.gov.co,ACTIVA,YAHIR FERNANDO ACUÑA CARDALES,,1161
106,ALCALDÍA MUNICIPAL DE SAN JOSÉ DE CÚCUTA,ALCALDIA DE SAN JOSE DE CUCUTA,CÚCUTA,0,,890501434,1033,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 11 NO. 5-49 PALACIO MUNICIPAL,5833939,https://cucuta.gov.co,ACTIVA,JORGE ENRIQUE ACEVEDO PEÑALOZA,,1101
107,GOBERNACIÓN DE ANTIOQUIA,GOBERNACION DE ANTIOQUIA,,GESTIONDOCUMENTAL@ANTIOQUIA.GOV.CO,,890900286,4391,TERRITORIAL,NO APLICA,GOBERNACIÓN,ADSCRITAS,"CALLE 42B NÚMERO 52- 106 CENTRO ADMINISTRATIVO DEPARTAMENTAL ""JOSÉ MARÍA CÓRDOVA""",3839000,http://www.antioquia.gov.co,ACTIVA,ANDRÉS JULIAN RENDON CARDONA,,1099
108,GOBERNACIÓN DE CASANARE,GOBERNACION DE CASANARE,,COBROCOACTIVO@CASANARE.GOV.CO,,892099216,4404,TERRITORIAL,NO APLICA,GOBERNACIÓN,ADSCRITAS,CARRERA 19 # 6-100,6358616,http://www.casanare.gov.co,ACTIVA,CESAR AUGUSTO ORTIZ ZORRO,,1076
109,ALCALDIA MUNICIPAL DE BARANOA ATLANTICO,ALCALDIA DE BARANOA,BARANOA,HACIENDA@BARANOA-ATLANTICO.GOV.CO,,890112371,46,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CRA. 19 NO. 16A-16.,8789999,http://www.baranoa-atlantico.gov.co,ACTIVA,LÁZARO RAFAEL ESCALANTE ESTRADA,,1074
119,GOBERNACIÓN VALLE DEL CAUCA,GOBERNACION DE VALLE DEL CAUCA,,CONTACTENOS@VALLEDELCAUCA.GOV.CO,,890399029,4420,TERRITORIAL,NO APLICA,GOBERNACIÓN,ADSCRITAS,CARRERA 6 CALLE 9 Y 10  PALACIO SAN FRANCISCO,8600147,http://www.valledelcauca.gov.co,ACTIVA,DILIAN FRANCISCA TORO TORRES,,986
124,EMPRESAS PÚBLICAS DE ARMENIA EPA ESP,EMPRESAS PUBLICAS DE ARMENIA,ARMENIA,CARTERA@EPA.GOV.CO,,890000439,4259,TERRITORIAL,NO APLICA,EMPRESAS INDUSTRIALES Y COMERCIALES DEL ESTADO,VINCULADAS,CENTRO ADMINISTRATIVO MUNICIPAL -CAM,7411780,http://www.epa.gov.co,ACTIVA,JORGE IVAN RENGIFO RODRIGUEZ,,952
127,ALCALDÍA DE SOACHA,ALCALDIA DE SOACHA,SOACHA,CONTACTENOS@ALCALDIASOACHA.GOV.CO,,800094755,491,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 13 Nº 7-30 SOACHA,7305500,https://www.alcaldiasoacha.gov.co,ACTIVA,JUAN CARLOS SALDARRIAGA GAVIRIA,,930
130,ALCALDÍA DE RIONEGRO,ALCALDIA DE RIONEGRO - SANTANDER,RIONEGRO,ALCALDIA@RIONEGRO.GOV.CO,,890204646,967,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 12 # 10 - 23,945658100,http://www.rionegro-santander.gov.co,ACTIVA,HECTOR JOHANNY SANTANA MUÑOZ,,926
134,ALCALDIA DE PIEDECUESTA,ALCALDIA DE PIEDECUESTA,PIEDECUESTA,EMBARGOSCOACTIVO@ALCALDIADEPIEDECUESTA.GOV.CO,,890205383,866,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 7 NO 9-43,6561529,www.alcaldiadepiedecuesta.gov.co,ACTIVA,OSCAR JAVIER SANTOS GALVIS,,917
136,HOSPITAL CÉSAR URIBE PIEDRAHITA,HOSPITAL REGIONAL  CESAR URIBE PIEDRAHITA  -CAUCASIA,,GESTIONTRIBUTARIA@GOBCESAR.GOV.CO,,890980757,3522,TERRITORIAL,NO APLICA,EMPRESAS SOCIALES DEL ESTADO,VINCULADAS,CALLE 31 CON KRA 18- BARRIO EL PALMAR- CAUCASIA- ANTIOQUIA,8392161,http://www.hcup.gov.co,ACTIVA,,,912
137,ALCALDÍA DE PEREIRA,ALCALDIA DE PEREIRA,PEREIRA,CONTACTENOS@PEREIRA.GOV.CO,,891480030,445,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 7 Nº 18-55 PISO 3,3248016,http://www.pereira.gov.co,ACTIVA,MAURICIO SALAZAR PELAEZ,,912
142,ALCALDÍA MUNICIPAL PUERTO COLOMBIA,ALCALDIA DE PUERTO COLOMBIA,PUERTO COLOMBIA,CONTACTENOS@PUERTOCOLOMBIA-ATLANTICO.GOV.CO,,800094386,922,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 4  2-18 SEDE PRINCIPAL,3226722,http://www.puertocolombia-atlantico.gov.co,ACTIVA,WILMAN VARGAS ALTAHONA,,899
147,DIRECCION DE TRANSITO Y TRANSPORTE DE FLORIDABLANCA,DIRECCION DE TRANSITO Y TRANSPORTE - FLORIDABLANCA,FLORIDABLANCA,INFO@TRANSITOFLORIDABLANCA.GOV.CO,,800115171,2740,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,CALLE 9 NO 8-14,6187939,https://transitofloridablanca.gov.co,ACTIVA,FERLEY GUILLERMO GONZALEZ ORTIZ,,877
155,GOBERNACIÓN DEL CESAR,,,GESTIONTRIBUTARIA@GOBCESAR.GOV.CO,,,,,,,,,,,,,,845
161,CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA - CAR,CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA,,SAU@CAR.GOV.CO,,899999062,261,NACIONAL,AMBIENTE Y DESARROLLO SOSTENIBLE,ORGANOS AUTÓNOMOS,NO APLICA,"AV. ESPERANZA NO. 62-49, COSTADO ESFERA PISO 6 Y 7",5801111,http://www.car.gov.co,ACTIVA,,,818
163,INSTITUTO DE TRANSITO Y TRANSPORTE DE ACACIAS,INSTITUTO DE TRANSITO Y TRANSPORTE DE ACACIAS - META,ACACÍAS,TRANSITO@ACACIAS.GOV.CO,,900081331,4572,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,CALLE 15 #16-56,6574714,https://www.transitoacacias.gov.co,ACTIVA,VÍCTOR ALFONSO CRUZ DAZA,,811
165,MUNICIPIO GRANADA META,,GRANADA,ALCALDIA@GRANADA-META.GOV.CO,,,,,,,,,,,,,,809
168,ALCALDÍA DE MEDELLÍN,ALCALDIA DE MEDELLIN,MEDELLÍN,NOTIFICACIONES.COBROCOACTIVO@MEDELLIN.GOV.CO,,890905211,426,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CALLE 44 N 52 - 165 CENTRO ADMINISTRATIVO LA ALPUJARRA,3855601,http://www.medellin.gov.co,ACTIVA,FEDERICO ANDRÉS GUTIÉRREZ ZULUAGA,,805
169,MUNICIPIO DE YOPAL,,YOPAL,CONTACTENOS@YOPAL-CASANARE.GOV.CO,,,,,,,,,,,,,,805
177,ALCALDÍA DE CERTIFIED,,,COBRANZAS@CARTAGENA.GOV.CO,,,,,,,,,,,,,,780
179,ALCALDÍA DE BUCARAMANGA,ALCALDIA DE BUCARAMANGA,BUCARAMANGA,INFO@AMB.GOV.CO,,890201222,152,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,"FASE I: CALLE 35 # 10-43
FASE II: CARRERA 11 # 34-52.",6337000,http://www.bucaramanga.gov.co,ACTIVA,EDUARD JESUS SANCHEZ ARIZA,,779
180,COMISIÓN NACIONAL DEL SERVICIO CIVIL,COMISION NACIONAL DEL SERVICIO CIVIL,,NOTIFICACIONESJUDICIALES@CNSC.GOV.CO,,900003409,6346,NACIONAL,NO APLICA,ORGANOS AUTÓNOMOS,NO APLICA,CARRERA 16 N 96  64 PISO 7O.,3259700,http://www.cnsc.gov.co,ACTIVA,ANIBAL GUSTAVO ADOLFO GRISALES,,767
196,MUNICIPIO DE CANDELARIA,,CANDELARIA,CONTACTENOS@CANDELARIA-VALLE.GOV.CO,,,,,,,,,,,,,,696
200,SECRETARÍA DE HACIENDA Y DEL TESORO,,,COBROCOACTIVO@BARRANCABERMEJA.GOV.CO,,,,,,,,,,,,,,688
201,GOBERNACIÓN DEL TOLIMA,,,DIRECCIÓN.RENTAS@TOLIMA.GOV.CO,,,,,,,,,,,,,,680
221,GOBERNACIÓN DE CALDAS,GOBERNACION DE CALDAS,,ATENCIONALCIUDADANO@CALDAS.GOV.CO,,890801052,4394,TERRITORIAL,NO APLICA,GOBERNACIÓN,ADSCRITAS,CARRERA 21 CALLE 22 Y 23 EDIFICIO DE LA GOBERNACIÓN,8982444,https://site.caldas.gov.co/,ACTIVA,LUIS CARLOS VELASQUEZ CARDONA,,632
222,ALCALDÍA MUNICIPAL DE YOPAL,ALCALDIA DE YOPAL,YOPAL,CONTACTENOS@YOPAL-CASANARE.GOV.CO,,891855017,510,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,DIAGONAL 15 - 15 - 21,6322940,http://www.yopal-casanare.gov.co,ACTIVA,MARCO TULIO RUIZ RIAÑO,,626
232,DIRECCIÓN SECCIONAL DE ADMINISTRACIÓN JUDICIAL DE BOGOTÁ,,BOGOTÁ D.C.,ATENCIONALUSUARIOBOGOTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,,,,606
257,POSITIVA COMPAÑIA DE SEGUROS,POSITIVA COMPAÑIA DE SEGUROS S.A.,,DEFENSORDELCLIENTE@POSITIVA.GOV.CO,,860011153,6468,NACIONAL,HACIENDA Y CRÉDITO PÚBLICO,SOCIEDAD DE ECONOMÍA MIXTA,VINCULADAS,AUTOPISTA NORTE (KRA 45) NO. 94-72,3307000,http://www.positiva.gov.co,ACTIVA,,,568
259,ALCALDÍA PAZ DE ARIPORO CASANARE,ALCALDIA DE PAZ DE ARIPORO,PAZ DE ARIPORO,TESORERIA@PAZDEARIPORO-CASANARE.GOV.CO,,800103659,859,TERRITORIAL,NO APLICA,ALCALDÍA,ADSCRITAS,CARRERA 10 NO. 9-69 BARRIO LAS VILLAS,3203405491,http://www.pazdeariporo-casanare.gov.co,ACTIVA,,,567
261,INSTITUTO MUNICIPAL DE TRASPORTE Y TRANSITO DE COROZAL,INSTITUTO MUNICIPAL DE TRANSPORTES Y TRANSITO DE COROZAL,COROZAL,CONTACTENOS@IMTRACCOROZAL.GOV.CO,,823001932,4732,TERRITORIAL,NO APLICA,ESTABLECIMIENTO PÚBLICO,ADSCRITAS,CARRERA 27 NO.37 29,2840039,NO DISPONIBLE,ACTIVA,,,564
