entidad_id,nombre_normalizado,nombre_real,tipo,subtipo,categoria,nit,cod_institucion,email,direccion,telefono,ciudad,municipio_id,departamento_id,orden,sector,naturaleza_juridica,estado,representante,total_registros,num_variantes
32,JUZGADO CINCUENTA Y NUEVE DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,110014189001,CMPL77BT@CENDOJ.RAMAJUDICIAL.GOV.CO,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,BOGOTÁ D.C.,1104,5,ORDINARIA,JUDICIAL,,,GABRIELA  MORA  CONTRERAS,2838,45
33,ALCALDÍA DE SOLEDAD,ALCALDIA DE SOLEDAD,ALCALDIA,,COACTIVA,890106291,493,NOTIFICACIONESJUDICIALES@TRANSITOSOLEDAD.GOV.CO,KILOMETRO 4 PROLONGACIÓN MURILLO GRAN CENTRAL DE ABASTOS DEL CARIBE LOCAL 6,3282188,SOLEDAD,154,4,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,ALCIRA PAOLA SANDOVAL IBAÑEZ,2790,42
34,ALCALDÍA MUNICIPAL DE JAMUNDÍ,ALCALDIA DE JAMUNDI,ALCALDIA,,COACTIVA,890399046,666,SECRETARIA.HACIENDA@JAMUNDI.GOV.CO,CARRERA 10 CALLE 10 ESQUINA,5190969,JAMUNDÍ,1076,31,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,PAOLA ANDREA CASTILLO GUTIERREZ,2721,35
35,ALCALDÍA DE ITAGÜÍ,ALCALDIA DE ITAGÜI,ALCALDIA,,COACTIVA,890980093,409,0,CARRERA 51 # 51 - 55 EDIFICIO JUDICIAL C.A.M.I,3737676,ITAGÜÍ,62,2,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,,2682,46
36,JUZGADO TERCERO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J03CMZIP@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2549,17
37,NO ENCONTRADA,,OTRO,,COACTIVA,,,COORDINADORCOACTIVO@TRANSITOCARTAGENA.GOV.CO,,,,,,,,,,,2500,4
38,ALCALDÍA DE SANTA MARTA,ALCALDIA DE SANTA ANA,ALCALDIA,,COACTIVA,891780056,1080,TRANSITO@SANTAMARTA.GOV.CO,CALLE 2 NO. 5 - 56,3116567627,SANTA MARTA,716,20,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,ANIBAL JOSE LOPEZ LOPEZ,2467,22
39,JUZGADO 40 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D.C,,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,,J40PCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,2449,18
40,DIRECCIÓN EJECUTIVA DE ADMINISTRACIÓN JUDICIAL,,DIRECCION_EJECUTIVA,,JUDICIAL,,,NOTICOACTIVO@DEAJ.RAMAJUDICIAL.GOV.CO,,,CALI,,,,,,,,2294,16
41,LAS CEIBAS EMPRESAS PUBLICAS DE NEIVA E.S.P.,LAS CEIBAS EMPRESAS PUBLICAS DE NEIVA,ESP,,COACTIVA,891180010,3836,COMUNICACIONESCOBROCOACTIVO@LASCEIBAS.GOV.CO,CALLE 6 NO. 6 - 02 ESQUINA,8725500,NEIVA,658,18,TERRITORIAL,NO APLICA,EMPRESA DE SERVICIOS PUBLICOS DOMICILIARIO OFICIAL,ACTIVA,GLORIA CONSTANZA VANEGAS GUTIERREZ,2250,33
42,JUZGADO CUARTO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J04CMBUC@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2213,10
43,JUZGADO NOVENO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL09BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2184,12
44,SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO,SUPERINTENDENCIA DE INDUSTRIA Y COMERCIO,SUPERINTENDENCIA,INDUSTRIA_COMERCIO,COACTIVA,800176089,31,CONTACTENOS@SIC.GOV.CO,"CARRERA 13 N 27  00 PISOS 3, 4, 5 Y 10",5870000,,,,NACIONAL,COMERCIO INDUSTRIA Y TURISMO,SUPERINTENDENCIA CON PERSONERÍA JURÍDICA,ACTIVA,CIELO ELAINNE RUSINQUE URREGO,2174,19
45,ALCALDÍA DE FLORENCIA,ALCALDIA DE FLORENCIA  CAUCA,ALCALDIA,,COACTIVA,800188492,393,SECHACIENDA@FLORENCIA-CAQUETA.GOV.CO,CALLE 4 NO. 3-34,7264696,FLORENCIA,361,9,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,,2151,53
46,JUZGADO 60 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D. C.,,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,,CMPL78BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,5,,,,,,2122,46
47,INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,INSPECCION DE TRANSITO Y TRANSPORTE DE BARRANCABERMEJA,OTRO,,COACTIVA,890270948,4498,NOTIFICACIONES@TRANSITOBARRANCABERMEJA.GOV.CO,CARRERA 2 50 25,6228685,BARRANCABERMEJA,900,28,TERRITORIAL,NO APLICA,ORGANOS AUTÓNOMOS,ACTIVA,CESAR AUGUSTO GUZMAN AREIZA,2098,33
48,ALCALDÍA MUNICIPAL DE PALMIRA,ALCALDIA DE PALMIRA,ALCALDIA,,COACTIVA,891380007,847,0,CALLE 30 CARRERA 29 ESQUINA EDIF. CAMP,2709690,PALMIRA,1081,31,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,VICTOR MANUEL RAMOS VERGARA,2041,18
49,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,050014189001,J05CMPCCMON@CENDOJ.RAMAJUDICIAL.GOV.CO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,MEDELLÍN,,,ORDINARIA,JUDICIAL,,,MARIA CLARA GIRALDO ACEVEDO,2036,34
50,JUZGADO PRIMERO PROMISCUO MUNICIPAL,,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,,J01PRMPALVILLAM@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,2026,20
51,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE MEDELLÍN,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,050014189001,J02PQCCMMON@CENDOJ.RAMAJUDICIAL.GOV.CO,"CARRERA 52#71-84 - OFICINA 106, CASA DE JUSTICIA EL BOSQUE",4-,MEDELLÍN,,,ORDINARIA,JUDICIAL,,,MARIA CLARA GIRALDO ACEVEDO,2014,60
52,JUZGADO TREINTA Y UNO CIVIL MUNICIPAL DE BOGOTÁ D C,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL31BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,2012,6
53,JUZGADO QUINTO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J05CMPALPIEDECUESTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1930,11
54,JUZGADO SEGUNDO PROMISCUO MUNICIPAL,,JUZGADO,PROMISCUO_MUNICIPAL,JUDICIAL,,,J02PRMPALTEBA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1928,33
55,JUZGADO DIECIOCHO DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,080014189001,J18PRPCBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 24#7-07 - SIMON BOLIVAR,5-3885005,BARRANQUILLA,136,4,ORDINARIA,JUDICIAL,,,MARCIA VIVIANA BERMUDEZ  ROJAS,1812,16
56,GOBERNACIÓN DE NORTE DE SANTANDER,GOBERNACION DE NORTE DE SANTANDER,GOBERNACION,,COACTIVA,800103927,4414,SECHACIENDA.COACTIVO@NORTEDESANTANDER.GOV.CO,AVENIDA QUINTA CALLE 13 Y 14 CUPULA CHATA,5712488,,,23,TERRITORIAL,NO APLICA,GOBERNACIÓN,ACTIVA,WILLIAM  VILLAMIZAR LAGUADO,1808,38
57,SECRETARIA DISTRITAL DE HACIENDA,SECRETARIA DISTRITAL DE MUJER,SECRETARIA,HACIENDA,COACTIVA,899999061,8095,RADICACIONHACIENDABOGOTA@SHD.GOV.CO,"AC 26 # 69 - 76, TORRE 1 OFICINA 9",2688854,,,,TERRITORIAL,NO APLICA,SECRETARIA DE DESPACHO,ACTIVA,,1798,24
58,ALCALDÍA DE MOSQUERA,ALCALDIA DE MOSQUERA - NARIÑO,ALCALDIA,,COACTIVA,800099111,790,COBROCOACTIVOHACIENDA@MOSQUERA-CUNDINAMARCA.GOV.CO,BARRIO LAS MERCEDES - CL2B #9-11,5662599,MOSQUERA,546,14,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,KAREN LIZETH PINEDA PINEDA,1791,17
59,JUZGADO SESENTA Y OCHO 68 CIVIL MUNICIPAL DE BOGOTÁ D C,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL68BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,1769,12
60,JUZGADO 78 CIVIL MUNICIPAL TRANSFORMADO TRANSITORIAMENTE EN JUZGADO 60 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ D. C.,,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,,CMPL78BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,5,,,,,,1747,61
61,JUZGADO SETENTA DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,110014189001,J70PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,BOGOTÁ D.C.,1104,5,ORDINARIA,JUDICIAL,,,GABRIELA  MORA  CONTRERAS,1734,50
62,SUPERTRANSPORTE,,OTRO,,COACTIVA,,,VENTANILLAUNICADERADICACION@SUPERTRANSPORTE.GOV.CO,,,,,,,,,,,1717,17
63,JUZGADO 74 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTA D.C.,,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,,J74PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,14,,,,,,1679,16
64,"JUZGADO TREINTA Y CUATRO CIVIL MUNICIPAL DE BOGOTÁ , D. C.",,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL34BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,BOGOTÁ D.C.,1104,5,,,,,,1674,29
65,GOBERNACIÓN DE SUCRE,GOBERNACION DE SUCRE,GOBERNACION,,COACTIVA,892280021,4399,CONTACTENOS@SUCRE.GOV.CO,"CALLE 25 NO. 25B-35 AVENIDA LAS PEÑIAS, EDIFICIO GOBERNACION DE SUCRE, SINCELEJO - SUCRE",2801552,,,29,TERRITORIAL,NO APLICA,GOBERNACIÓN,ACTIVA,HECTOR OLIMPO ESPINOSA OLIVER,1643,30
66,ALCALDÍA DE AGUAZUL,ALCALDIA DE AGUAZUL,ALCALDIA,,COACTIVA,891855200,320,COBROCOACTIVO@AGUAZUL-CASANARE.GOV.CO,CARRERA 12 N° 10 - 36,6345995,AGUAZUL,371,10,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,NELSON ENRIQUE CAMACHO CAICEDO,1635,41
67,JUZGADO QUINTO DE PEQUEÑAS CAUSAS Y COMPETENCIA MULTIPLE DE BOGOTA,JUZGADO 001 DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BOGOTÁ,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,110014189001,J05PQCCMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,DIAGONAL 62 SUR#20F-20 - CASA DE JUSTICIA DE CIUDAD BOLÍVAR - PISO 1. OFICINA 105 OF 105,1-,BOGOTÁ D.C.,1104,5,ORDINARIA,JUDICIAL,,,GABRIELA  MORA  CONTRERAS,1633,22
68,ALCALDIA MUNICIPAL DE EL ESPINAL,ALCALDIA DE EL ESPINAL,ALCALDIA,,COACTIVA,890702027,542,CONTACTENOS@ELSPINAL-TOLIMA.GOV.CO,CARRERA 6 NO. 8 - 07,2488379,EL ESPINAL,1022,30,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,WILSON GUTIERREZ MONTAÑA,1623,50
69,JUZGADO SEGUNDO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MÚLTIPLES DE CARTAGENA,,JUZGADO,,JUDICIAL,,,J02PEQCACMCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,CARTAGENA DE INDIAS,167,6,,,,,,1604,9
70,JUZGADO VEINTIDÓS DE PEQUEÑAS CAUSAS Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,JUZGADO 001 DE PEQUEÑAS CAUSAS  Y COMPETENCIA MÚLTIPLE DE BARRANQUILLA,JUZGADO,PEQUENAS_CAUSAS,JUDICIAL,,080014189001,J22PRPCBQUILLA@CENDOJ.RAMAJUDICIAL.GOV.CO,CALLE 24#7-07 - SIMON BOLIVAR,5-3885005,BARRANQUILLA,136,4,ORDINARIA,JUDICIAL,,,MARCIA VIVIANA BERMUDEZ  ROJAS,1600,11
71,JUZGADO SEXTO DE PEQUEÑAS CAUSAS Y COMPETENCIAS MULTIPLES DE CARTAGENA,,JUZGADO,,JUDICIAL,,,J06PCPRCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,CARTAGENA DE INDIAS,167,6,,,,,,1591,18
72,JUZGADO SEXTO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPAL06MA@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1578,7
73,JUZGADO ONCE CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL11BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1530,10
74,JUZGADO OCTAVO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,J08CMPER@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1504,16
75,JUZGADO SEGUNDO CIVIL MUNICIPAL DE CARTAGENA DE INDIAS,JUZGADO 001 CIVIL MUNICIPAL DE CARTAGENA,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,130014003001,J02CMPLCGENA@CENDOJ.RAMAJUDICIAL.GOV.CO,CARRERA 5A#36-127 - CALLE DEL CUARTEL CARRERA 5 A N° 36 - 127 OFICINA 312,5-3102375766,CARTAGENA DE INDIAS,167,6,ORDINARIA,JUDICIAL,,,KEY SANDY CARO  MEJIA,1477,7
76,JUZGADO VEINTICUATRO CIVIL MUNICIPAL,,JUZGADO,CIVIL_MUNICIPAL,JUDICIAL,,,CMPL24BT@CENDOJ.RAMAJUDICIAL.GOV.CO,,,,,,,,,,,1435,2
77,COLPENSIONES,,COLPENSIONES,,COACTIVA,,,COBROCOACTIVO@COLPENSIONES.GOV.CO,,,,,,,,,,,1430,4
78,ALCALDIA MUNICIPAL DE COROZAL,ALCALDIA DE COROZAL,ALCALDIA,,COACTIVA,892280032,380,TRANSITODECOROZALSUCRE@HOTMAIL.COM,CARRERA 28 NO 31A-08 BARRIO SAN JUAN - PALACIO MUNICIPAL - COROZAL,2840460,COROZAL,986,29,TERRITORIAL,NO APLICA,ALCALDÍA,ACTIVA,BAYRON JOAQUIN OSPINA TRESPALACIOS,1419,8
79,JUZGADO 12 CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE BOGOTÁ,JUZGADO CIVIL MUNICIPAL DE EJECUCIÓN DE SENTENCIAS DE MANIZALES,JUZGADO,EJECUCION_CIVIL,JUDICIAL,,170014303000,RADICACIONJ12EJECMBTA@CENDOJ.RAMAJUDICIAL.GOV.CO,NA,NA,BOGOTÁ D.C.,1104,5,ORDINARIA,ADMINISTRATIVA,,,,1413,36
